ICS	PART NAME	CODE	"Unit Price
Purchase
USD"	" Unit Price
Sales
PHP "	L0035696		L0035704		9235 9242 9273 9289 9305		L0035721		"L0035732
L0035734"		S0001131		L0035786								TOTAL PO QTY	TOTAL PO AMT
5940624800	EMC405AX-14A BK	R	  4.1552 	  294.9500 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
7497093101	18/MH/011/CL/A	R	  2.2450 	  210.5000 	  -   	  -   	  3,400 	  715,700 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  3,400 	  715,700
7497093101*	18/MH/011/CL/A_500KG	R	  2.2450 	  210.5000 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
8706522700	44/MH/4334/RD/A	R	  2.5450 	  238.5800 	  -   	  -   	  2,850 	  679,953 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  2,850 	  679,953
8718902300	HK30D/W0271 WHITE	R	  1.4250 	  138.8900 	  -   	  -   	  10,300 	  1,430,567 	  -   	  -   	  6,500 	  902,785 	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  16,800 	  2,333,352
9034989900	LX MMA 2B/IH830C/NA/CL/A	R	  2.0810 	  146.3300 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
9034989900*	LX MMA 2B/IH830C/NA/CL/A_500KG	R	  2.0810 	  146.3300 	  -   	  -   	  65,900 	  9,643,147 	  -   	  -   	  16,925 	  2,476,635 	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  82,825 	  12,119,782
0000000011	PMMA SUMIPEX ME	R	  3.9223 	  272.4691 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0000000920	PP GSC 1A920T BKN12	R	  2.9429 	  204.1375 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0000000930	PP GSC CJ930E WH	R	  2.9534 	  204.1987 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
1296568000	CDH1289A/P-SAY S-18931B_Driver	EC	  3.2418 	  135.3300 	  52,910 	  7,160,310 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  2,890 	  391,104 		  -   		  -   		  -   	  55,800 	  7,551,414
1831285900	CDH1326A/LDU M_K2VN	EC	  9.7255 	  633.2000 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
2371615100	CDX0066A/LDU M_T20	EC	  7.4504 	  578.0500 	  5,760 	  3,329,568 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  5,760 	  3,329,568
5991333600	CDX0035A/LDU M_X30 TL	EC	  -   	  216.1200 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
6766950900	CDH1326A/LDU M/PKG2_LoHi	EC	  3.2418 	  114.1800 	  59,920 	  6,841,666 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  59,920 	  6,841,666
7898681600	CDH1326A/LDU M/PKG1_FT PO	EC	  3.2418 	  383.6900 	  52,920 	  20,304,875 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  2,880 	  1,105,027 		  -   		  -   		  -   	  55,800 	  21,409,902
9563512100	CDX0033/LDU M_X30 HL	EC	  -   	  680.7300 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  420 	  285,907 	  -   	  -   		  -   		  -   		  -   	  420 	  285,907
